<details> <summary> <b>routing new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
6b1a1f8|Packet Please|Sun Jan 11 21:01:41 2026 +0100|bird3: update to 3.2.0
a605738|Packet Please|Sun Jan 11 21:00:20 2026 +0100|bird2: update to 2.18
4b18ca3|Toke Høiland-Jørgensen|Wed Nov 26 14:52:27 2025 +0100|bird3: add patch to move birdc's history file
10bb3de|Toke Høiland-Jørgensen|Wed Nov 26 14:44:35 2025 +0100|bird2: add patch to move birdc's history file
adf118f|Toke Høiland-Jørgensen|Tue Sep 23 12:17:59 2025 +0200|bird2: Update to v2.17.2
fc067f2|Toke Høiland-Jørgensen|Tue Sep 23 12:16:31 2025 +0200|bird3: Update to version 3.1.4
3ec7ff6|Nick Hainke|Sun Jun 22 19:11:06 2025 +0200|bird3: update to 3.1.2
52730e4|Josef Schlehofer|Mon Jun 16 22:49:29 2025 +0200|bird{2,3}: use HTTPS in URL and reorder Makefile
6a01f1a|Nick Hainke|Mon Apr 28 08:55:35 2025 +0200|bird3: update to 3.1.0
</details>
